site,orbit,date,lon,lat,slick_px
Lavan,64,2026-02-03 07:52:14,53.363857,26.698992,22756
Lavan,64,2026-02-09 07:53:19,53.334332,26.890785,13815
Lavan,64,2026-02-15 07:52:14,53.288083,26.906517,11598
Lavan,64,2026-02-27 07:52:14,53.387886,26.945007,10209
Lavan,64,2026-03-05 07:53:19,53.370696,26.952302,12677
Lavan,64,2026-03-11 07:52:14,53.426672,26.90157,915
Lavan,64,2026-03-23 07:52:14,53.404304,26.952921,6930
Lavan,64,2026-03-29 07:53:19,53.44083,26.919039,17011
Lavan,64,2026-04-10 07:53:19,53.397542,26.720918,13974
Qeshm,166,2026-02-10 07:44:04,55.852869,26.768541,18025
Qeshm,166,2026-02-16 07:45:09,55.887186,26.873262,15944
Qeshm,166,2026-02-22 07:44:04,55.941082,26.816267,13914
Qeshm,166,2026-02-28 07:45:09,55.924889,26.832666,8640
Qeshm,166,2026-03-06 07:44:04,55.879914,26.888954,12711
Qeshm,166,2026-03-12 07:45:09,55.888661,26.67932,3262
Qeshm,166,2026-03-18 07:44:04,56.054704,26.803304,19991
Qeshm,166,2026-03-24 07:45:09,55.799472,26.827347,518
Qeshm,166,2026-03-30 07:44:04,55.900925,26.658894,13727
Qeshm,166,2026-04-05 07:45:09,55.937801,26.918963,11099
Qeshm,166,2026-04-11 07:44:05,55.938127,26.61371,18801
Qeshm,166,2026-04-17 07:45:09,55.881948,26.922698,9106
Shidvar,64,2026-02-03 07:52:14,53.863587,26.674864,13157
Shidvar,64,2026-02-09 07:53:19,54.016878,26.680611,24313
Shidvar,64,2026-02-15 07:52:14,53.933005,26.709533,16978
Shidvar,64,2026-02-21 07:53:19,53.79871,26.613187,14867
Shidvar,64,2026-02-27 07:52:14,53.83402,26.678895,9513
Shidvar,64,2026-03-05 07:53:19,53.922767,26.723015,12150
Shidvar,64,2026-03-11 07:52:14,54.023282,26.708897,13590
Shidvar,64,2026-03-29 07:53:19,53.815741,26.631992,12222
Shidvar,64,2026-04-04 07:52:14,53.853516,26.697849,17284
Shidvar,64,2026-04-10 07:53:19,53.963616,26.67903,16759
